k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.45,728,327,8876,364,0.3333333333333333,0.035531891774421384,36727.0,3.567459932005828,FD002,1.0,100,20
0.5,753,357,8846,339,0.31043956043956045,0.038791698359230686,34257.0,3.3275376396308887,FD002,1.0,100,20
0.55,776,393,8810,316,0.2893772893772894,0.04270346626100185,31993.0,3.1076250607090823,FD002,1.0,100,20
0.6,807,439,8764,285,0.260989010989011,0.04770183635770944,28939.0,2.810976202039825,FD002,1.0,100,20
0.65,835,476,8727,257,0.23534798534798534,0.051722264478974246,26176.0,2.542593491986401,FD002,1.0,100,20
0.7,849,518,8685,243,0.22252747252747251,0.056285993697707266,24818.0,2.4106847984458475,FD002,1.0,100,20
0.75,866,568,8635,226,0.20695970695970695,0.06171900467238944,23168.0,2.250412821758135,FD002,1.0,100,20
0.8,885,616,8587,207,0.18956043956043955,0.06693469520808432,21316.0,2.0705196697425934,FD002,1.0,100,20
0.85,911,671,8532,181,0.16575091575091574,0.07291100728023471,18771.0,1.8233122875182126,FD002,1.0,100,20
0.9,931,733,8470,161,0.14743589743589744,0.0796479408888406,16833.0,1.635065565808645,FD002,1.0,100,20
0.95,948,799,8404,144,0.13186813186813187,0.08681951537542106,15199.0,1.4763477416221467,FD002,1.0,100,20
1.0,963,859,8344,129,0.11813186813186813,0.09333912854503966,13759.0,1.3364740165128703,FD002,1.0,100,20
1.05,976,926,8277,116,0.10622710622710622,0.10061936325111377,12526.0,1.2167071393880524,FD002,1.0,100,20
1.1,986,1017,8186,106,0.09706959706959707,0.11050744322503532,11617.0,1.1284118504128218,FD002,1.0,100,20
1.15,999,1094,8109,93,0.08516483516483517,0.11887428012604585,10394.0,1.0096163186012628,FD002,1.0,100,20
1.2,1008,1185,8018,84,0.07692307692307693,0.12876236009996742,9585.0,0.9310344827586207,FD002,1.0,100,20
1.25,1017,1293,7910,75,0.06868131868131869,0.1404976638052809,8793.0,0.8541039339485187,FD002,1.0,100,20
